Time,"Boost pressure","Coolant temperature","Current battery voltage","Intake air temperature","Oil pressure","Oil temperature","Air mass flow","Lambda actual value","Target air mass flow"
0.000,0,0,0,0,0,0,0,1.00,0
0.151,0,0,0,0,0,0,0,1.00,22.00
0.300,0.01,0,0,0,0,0,0,1.00,22.00
0.480,0.01,201.85,0,0,0,0,0,1.00,22.00
0.630,0.01,201.85,14900.00,0,0,0,0,1.00,22.00
0.780,0.01,201.85,14900.00,125.15,0,0,0,1.00,22.00
0.929,0.01,201.85,14900.00,125.15,2.53,0,0,1.00,22.00
1.080,0.01,201.85,14900.00,125.15,2.53,213.80,0,1.00,22.00
1.230,0.01,201.85,14900.00,125.15,2.53,213.80,20.00,1.00,22.00
1.380,0.01,201.85,14900.00,125.15,2.53,213.80,20.00,0.99,22.00
1.530,0.01,201.85,14900.00,125.15,2.53,213.80,20.00,0.99,21.90
1.680,0.01,201.85,14900.00,125.15,2.53,213.80,20.00,0.99,21.90
1.830,0.01,202.03,14900.00,125.15,2.53,213.80,20.00,0.99,21.90
1.980,0.01,202.03,14880.00,125.15,2.53,213.80,20.00,0.99,21.90
2.130,0.01,202.03,14880.00,125.15,2.53,213.80,20.00,0.99,21.90
2.280,0.01,202.03,14880.00,125.15,2.57,213.80,20.00,0.99,21.90
2.430,0.01,202.03,14880.00,125.15,2.57,213.80,20.00,0.99,21.90
2.580,0.01,202.03,14880.00,125.15,2.57,213.80,20.00,0.99,21.90
2.730,0.01,202.03,14880.00,125.15,2.57,213.80,20.00,0.98,21.90
2.880,0.01,202.03,14880.00,125.15,2.57,213.80,20.00,0.98,21.20
3.030,0.00,202.03,14880.00,125.15,2.57,213.80,20.00,0.98,21.20
3.180,0.00,202.03,14880.00,125.15,2.57,213.80,20.00,0.98,21.20
3.330,0.00,202.03,14840.00,125.15,2.57,213.80,20.00,0.98,21.20
3.480,0.00,202.03,14840.00,125.15,2.57,213.80,20.00,0.98,21.20
3.630,0.00,202.03,14840.00,125.15,2.49,213.80,20.00,0.98,21.20
3.780,0.00,202.03,14840.00,125.15,2.49,213.80,20.00,0.98,21.20
3.930,0.00,202.03,14840.00,125.15,2.49,213.80,20.00,0.98,21.20
4.080,0.00,202.03,14840.00,125.15,2.49,213.80,20.00,1.01,21.20
4.230,0.00,202.03,14840.00,125.15,2.49,213.80,20.00,1.01,21.50
4.410,0.00,202.03,14840.00,125.15,2.49,213.80,20.00,1.01,21.50
4.560,0.00,202.21,14840.00,125.15,2.49,213.80,20.00,1.01,21.50
4.711,0.00,202.21,14900.00,125.15,2.49,213.80,20.00,1.01,21.50
4.860,0.00,202.21,14900.00,125.15,2.49,213.80,20.00,1.01,21.50
5.010,0.00,202.21,14900.00,125.15,2.55,213.80,20.00,1.01,21.50
5.160,0.00,202.21,14900.00,125.15,2.55,213.80,20.00,1.01,21.50
5.310,0.00,202.21,14900.00,125.15,2.55,213.80,20.00,1.01,21.50
5.460,0.00,202.21,14900.00,125.15,2.55,213.80,20.00,0.99,21.50
5.610,0.00,202.21,14900.00,125.15,2.55,213.80,20.00,0.99,23.30
5.760,0.00,202.21,14900.00,125.15,2.55,213.80,20.00,0.99,23.30
5.910,0.00,202.21,14900.00,125.15,2.55,213.80,20.00,0.99,23.30
6.060,0.00,202.21,14940.00,125.15,2.55,213.80,20.00,0.99,23.30
6.210,0.00,202.21,14940.00,125.15,2.55,213.80,20.00,0.99,23.30
6.360,0.00,202.21,14940.00,125.15,2.58,213.80,20.00,0.99,23.30
6.510,0.00,202.21,14940.00,125.15,2.58,213.80,20.00,0.99,23.30
6.660,0.00,202.21,14940.00,125.15,2.58,213.80,20.00,0.99,23.30
6.960,0.00,202.21,14940.00,125.15,2.58,213.80,20.00,1.01,23.30
7.110,0.00,202.21,14940.00,125.15,2.58,213.80,20.00,1.01,24.30
7.260,0.01,202.21,14940.00,125.15,2.58,213.80,20.00,1.01,24.30
7.410,0.01,202.39,14940.00,125.15,2.58,213.80,20.00,1.01,24.30
7.560,0.01,202.39,14880.00,125.15,2.58,213.80,20.00,1.01,24.30
7.711,0.01,202.39,14880.00,125.15,2.58,213.80,20.00,1.01,24.30
7.860,0.01,202.39,14880.00,125.15,2.58,213.80,20.00,1.01,24.30
8.010,0.01,202.39,14880.00,125.15,2.58,212.00,20.00,1.01,24.30
8.160,0.01,202.39,14880.00,125.15,2.58,212.00,20.00,1.01,24.30
8.310,0.01,202.39,14880.00,125.15,2.58,212.00,20.00,1.02,24.30
8.460,0.01,202.39,14880.00,125.15,2.58,212.00,20.00,1.02,23.80
8.610,0.01,202.39,14880.00,125.15,2.58,212.00,20.00,1.02,23.80
8.760,0.01,202.39,14880.00,125.15,2.58,212.00,20.00,1.02,23.80
8.910,0.01,202.39,14900.00,125.15,2.58,212.00,20.00,1.02,23.80
9.090,0.01,202.39,14900.00,125.15,2.58,212.00,20.00,1.02,23.80
9.240,0.01,202.39,14900.00,125.15,2.56,212.00,20.00,1.02,23.80
9.390,0.01,202.39,14900.00,125.15,2.56,212.00,20.00,1.02,23.80
9.540,0.01,202.39,14900.00,125.15,2.56,212.00,20.00,1.02,23.80
9.690,0.01,202.39,14900.00,125.15,2.56,212.00,20.00,0.99,23.80
9.840,0.01,202.39,14900.00,125.15,2.56,212.00,20.00,0.99,23.40
9.990,0.01,202.39,14900.00,125.15,2.56,212.00,20.00,0.99,23.40
10.140,0.01,202.39,14900.00,125.15,2.56,212.00,20.00,0.99,23.40
10.290,0.01,202.39,14880.00,125.15,2.56,212.00,20.00,0.99,23.40
10.439,0.01,202.39,14880.00,125.15,2.56,212.00,20.00,0.99,23.40
10.590,0.01,202.39,14880.00,125.15,2.40,212.00,20.00,0.99,23.40
10.740,0.01,202.39,14880.00,125.15,2.40,212.00,20.00,0.99,23.40
10.952,0.01,202.39,14880.00,125.15,2.40,212.00,20.00,0.99,23.40
11.100,0.01,202.39,14880.00,125.15,2.40,212.00,20.00,1.00,23.40
11.252,0.01,202.39,14880.00,125.15,2.40,212.00,20.00,1.00,23.00
11.400,0.01,202.39,14880.00,125.15,2.40,212.00,20.00,1.00,23.00
11.552,0.01,202.39,14880.00,125.15,2.40,212.00,20.00,1.00,23.00
11.700,0.01,202.39,14880.00,125.15,2.40,212.00,20.00,1.00,23.00
11.852,0.01,202.39,14880.00,125.15,2.40,212.00,20.00,1.00,23.00
12.000,0.01,202.39,14880.00,125.15,2.39,212.00,20.00,1.00,23.00
12.152,0.01,202.39,14880.00,125.15,2.39,212.00,20.00,1.00,23.00
12.330,0.01,202.39,14880.00,125.15,2.39,212.00,20.00,1.00,23.00
12.480,0.01,202.39,14880.00,125.15,2.39,212.00,20.00,1.00,23.00
12.630,0.01,202.39,14880.00,125.15,2.39,212.00,20.00,1.00,22.60
12.780,0.01,202.39,14880.00,125.15,2.39,212.00,20.00,1.00,22.60
12.930,0.01,202.39,14880.00,125.15,2.39,212.00,20.00,1.00,22.60
13.080,0.01,202.39,14900.00,125.15,2.39,212.00,20.00,1.00,22.60
13.230,0.01,202.39,14900.00,125.15,2.39,212.00,20.00,1.00,22.60
13.380,0.01,202.39,14900.00,125.15,2.55,212.00,20.00,1.00,22.60
13.530,0.01,202.39,14900.00,125.15,2.55,212.00,20.00,1.00,22.60
13.680,0.01,202.39,14900.00,125.15,2.55,212.00,20.00,1.00,22.60
13.830,0.01,202.39,14900.00,125.15,2.55,212.00,20.00,1.00,22.60
13.980,0.01,202.39,14900.00,125.15,2.55,212.00,20.00,1.00,22.60
14.130,0.01,202.39,14900.00,125.15,2.55,212.00,20.00,1.00,22.60
14.280,0.01,202.39,14900.00,125.15,2.55,212.00,20.00,1.00,22.60
14.430,0.01,202.39,14940.00,125.15,2.55,212.00,20.00,1.00,22.60
14.580,0.01,202.39,14940.00,125.15,2.55,212.00,20.00,1.00,22.60
14.760,0.01,202.39,14940.00,125.15,2.66,212.00,20.00,1.00,22.60
14.910,0.01,202.39,14940.00,125.15,2.66,212.00,20.00,1.00,22.60
15.059,0.01,202.39,14940.00,125.15,2.66,212.00,20.00,1.00,22.60
15.210,0.01,202.39,14940.00,125.15,2.66,212.00,20.00,1.00,22.60
15.359,0.01,202.39,14940.00,125.15,2.66,212.00,20.00,1.00,22.30
15.510,0.01,202.39,14940.00,125.15,2.66,212.00,20.00,1.00,22.30
15.720,0.01,202.57,14940.00,125.15,2.66,212.00,20.00,1.00,22.30
15.869,0.01,202.57,14900.00,125.15,2.66,212.00,20.00,1.00,22.30
16.052,0.01,202.57,14900.00,125.15,2.66,212.00,20.00,1.00,22.30
16.200,0.01,202.57,14900.00,125.15,2.46,212.00,20.00,1.00,22.30
16.352,0.01,202.57,14900.00,125.15,2.46,212.00,20.00,1.00,22.30
16.500,0.01,202.57,14900.00,125.15,2.46,212.00,20.00,1.00,22.30
16.652,0.01,202.57,14900.00,125.15,2.46,212.00,20.00,1.00,22.30
