Time,"Intake air temperature","Air mass flow","Target air mass flow","Lambda actual value","Coolant temperature","Current battery voltage","Oil pressure","Oil temperature","Boost pressure"
0.000,0,0,0,0,0,0,0,0,0.00
0.240,127.85,0,0,0,0,0,0,0,0.00
0.480,127.85,12.00,0,0,0,0,0,0,0.00
0.750,127.85,12.00,15.30,0,0,0,0,0,0.00
0.990,127.85,12.00,15.30,0.95,0,0,0,0,0.00
1.230,127.85,12.00,15.30,0.95,201.49,0,0,0,0.00
1.470,127.85,12.00,15.30,0.95,201.49,14840.00,0,0,0.00
1.710,127.85,12.00,15.30,0.95,201.49,14840.00,2.33,0,0.00
1.950,127.85,12.00,15.30,0.95,201.49,14840.00,2.33,208.40,0.00
2.190,127.85,12.00,15.30,0.95,201.49,14840.00,2.33,208.40,0.00
2.430,127.85,12.00,15.30,0.95,201.49,14840.00,2.33,208.40,0.00
2.670,127.85,12.00,15.30,0.95,201.49,14840.00,2.33,208.40,0.00
2.910,127.85,12.00,14.90,0.95,201.49,14840.00,2.33,208.40,0.00
3.150,127.85,12.00,14.90,0.97,201.49,14840.00,2.33,208.40,0.00
3.390,127.85,12.00,14.90,0.97,201.49,14840.00,2.33,208.40,0.00
3.630,127.85,12.00,14.90,0.97,201.49,14900.00,2.33,208.40,0.00
3.870,127.85,12.00,14.90,0.97,201.49,14900.00,2.41,208.40,0.00
4.110,127.85,12.00,14.90,0.97,201.49,14900.00,2.41,208.40,0.00
4.380,127.85,12.00,14.90,0.97,201.49,14900.00,2.41,208.40,0.00
4.620,129.20,12.00,14.90,0.97,201.49,14900.00,2.41,208.40,0.00
4.860,129.20,12.00,14.90,0.97,201.49,14900.00,2.41,208.40,0.00
5.100,129.20,12.00,16.00,0.97,201.49,14900.00,2.41,208.40,0.00
5.340,129.20,12.00,16.00,1.09,201.49,14900.00,2.41,208.40,0.00
5.580,129.20,12.00,16.00,1.09,201.85,14900.00,2.41,208.40,0.00
5.820,129.20,12.00,16.00,1.09,201.85,14880.00,2.41,208.40,0.00
6.060,129.20,12.00,16.00,1.09,201.85,14880.00,2.53,208.40,0.00
6.300,129.20,12.00,16.00,1.09,201.85,14880.00,2.53,208.40,0.00
6.540,129.20,12.00,16.00,1.09,201.85,14880.00,2.53,208.40,0.00
6.780,129.20,12.00,16.00,1.09,201.85,14880.00,2.53,208.40,0.00
7.020,129.20,16.00,16.00,1.09,201.85,14880.00,2.53,208.40,0.00
7.260,129.20,16.00,16.00,1.09,201.85,14880.00,2.53,208.40,0.00
7.500,129.20,16.00,16.00,1.05,201.85,14880.00,2.53,208.40,0.00
7.740,129.20,16.00,16.00,1.05,201.85,14880.00,2.53,208.40,0.00
7.980,129.20,16.00,16.00,1.05,201.85,14880.00,2.53,208.40,0.00
8.219,129.20,16.00,16.00,1.05,201.85,14880.00,2.52,208.40,0.00
8.460,129.20,16.00,16.00,1.05,201.85,14880.00,2.52,208.40,0.00
