Time,"Oil pressure","Oil temperature","Coolant temperature","Actual speed","Actual gear","Engine speed","Throttle valve angle from potentiometer 1","Air mass flow","Fuel mass flow","Intake air temperature","Lambda actual value","Boost pressure","Boost pressure raw value","Current battery voltage"
0.000,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150,2.51,221.00,0,0,0,0,0,0,0,0,0,0,0,0
0.300,2.51,221.00,220.93,0,0,0,0,0,0,0,0,0,0,0
0.450,2.51,221.00,220.93,0.00,0,0,0,0,0,0,0,0,0,0
0.600,2.51,221.00,220.93,0.00,0.00,0,0,0,0,0,0,0,0,0
0.780,2.51,221.00,220.93,0.00,0.00,700.00,0,0,0,0,0,0,0,0
0.930,2.51,221.00,220.93,0.00,0.00,700.00,3.81,0,0,0,0,0,0,0
1.083,2.51,221.00,220.93,0.00,0.00,700.00,3.81,12.00,0,0,0,0,0,0
1.230,2.51,221.00,220.93,0.00,0.00,700.00,3.81,12.00,0.80,0,0,0,0,0
1.383,2.51,221.00,220.93,0.00,0.00,700.00,3.81,12.00,0.80,122.45,0,0,0,0
1.530,2.51,221.00,220.93,0.00,0.00,700.00,3.81,12.00,0.80,122.45,0.99,0,0,0
1.680,2.51,221.00,220.93,0.00,0.00,700.00,3.81,12.00,0.80,122.45,0.99,0.00,0,0
1.830,2.51,221.00,220.93,0.00,0.00,700.00,3.81,12.00,0.80,122.45,0.99,0.00,1.02,0
2.040,2.51,221.00,220.93,0.00,0.00,700.00,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
2.193,2.52,221.00,220.93,0.00,0.00,700.00,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
2.340,2.52,221.00,220.93,0.00,0.00,700.00,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
2.493,2.52,221.00,221.11,0.00,0.00,700.00,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
2.640,2.52,221.00,221.11,0.00,0.00,700.00,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
2.793,2.52,221.00,221.11,0.00,0.00,700.00,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
2.940,2.52,221.00,221.11,0.00,0.00,697.00,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
3.093,2.52,221.00,221.11,0.00,0.00,697.00,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
3.240,2.52,221.00,221.11,0.00,0.00,697.00,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
3.393,2.52,221.00,221.11,0.00,0.00,697.00,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
3.540,2.52,221.00,221.11,0.00,0.00,697.00,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
3.690,2.52,221.00,221.11,0.00,0.00,697.00,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
3.840,2.52,221.00,221.11,0.00,0.00,697.00,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
3.993,2.52,221.00,221.11,0.00,0.00,697.00,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13140.00
4.170,2.52,221.00,221.11,0.00,0.00,697.00,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
4.320,2.72,221.00,221.11,0.00,0.00,697.00,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
4.472,2.72,221.00,221.11,0.00,0.00,697.00,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
4.620,2.72,221.00,221.11,0.00,0.00,697.00,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
4.772,2.72,221.00,221.11,0.00,0.00,697.00,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
4.920,2.72,221.00,221.11,0.00,0.00,697.00,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
5.070,2.72,221.00,221.11,0.00,0.00,700.50,3.78,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
5.220,2.72,221.00,221.11,0.00,0.00,700.50,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
5.372,2.72,221.00,221.11,0.00,0.00,700.50,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
5.520,2.72,221.00,221.11,0.00,0.00,700.50,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
5.672,2.72,221.00,221.11,0.00,0.00,700.50,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
5.820,2.72,221.00,221.11,0.00,0.00,700.50,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
5.972,2.72,221.00,221.11,0.00,0.00,700.50,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
6.120,2.72,221.00,221.11,0.00,0.00,700.50,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13220.00
6.272,2.72,221.00,221.11,0.00,0.00,700.50,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13160.00
6.420,2.70,221.00,221.11,0.00,0.00,700.50,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13160.00
6.570,2.70,221.00,221.11,0.00,0.00,700.50,3.81,12.00,0.80,122.45,0.99,0.00,1.02,13160.00
